Name,FIDE ID,Title,Rating (Standard),Rating (Rapid),Rating (Blitz),Federation,Birth Year,Age,Last Rated Game,Games (12mo),Games (24mo),Years Since Last Game,Status,Plays Opens,Travel Range,Americas Experience,Chess960,Chess960 Notes,Crypto Connection,Crypto Notes,Content Creator,Social Handles,Schedule Conflicts,AI Summary,My Odds,My Notes
"Lu, Shanglei",8603332,GM,2643,,,CHN,1995,31,,,,,active,regularly,global,unknown,yes,FIDE World Blitz Championships; games against Magnus Carlsen,no,No known connection to Bitcoin or cryptocurrency,yes,Twitch: unknown handle but confirmed to stream; YouTube: unknown handle but has appeared in videos; Twitter: unknown,,"Based on the search results, Lu Shanglei is an active Chinese GM who regularly participates in open tournaments like the Reykjavik Open and Isle of Man International, and has competed globally in FIDE championships and blitz events. Given his pattern of traveling internationally for tournaments and his consistent activity (including recent participation in 2024-2025 events), he could potentially attend an open tournament in Honduras, though no specific 2026 commitments or Central American tournament history were found in the research. His active status and willingness to compete in various international opens suggests moderate possibility, depending on tournament strength and scheduling.",,
"Artemiev, Vladislav",24101605,GM,2641,,,RUS,1998,28,,,,,active,regularly,global,unknown,yes,Fischer Random Chess events,no,no crypto/bitcoin connection found in search results,yes,Twitch: unknown handle; YouTube: unknown handle,,"Based on the research, Artemiev appears to be an active grandmaster who regularly participates in open tournaments internationally, including events like the Qatar Masters Open and various championships across different countries. Given his global travel pattern for tournaments and consistent activity in 2024-2025, he would likely be a viable candidate for an open tournament in Honduras, though no specific 2026 commitments or previous Central American tournament history were found in the search results. His participation would depend on factors like tournament strength, prize fund, and scheduling conflicts with other events.",,
"Pranav, V",25060783,GM,2641,,,IND,2006,20,,,,,active,regularly,global,unknown,yes,2022 Fischer Random World Championship qualifier; 2022 Fischer Random World Championship final; 2026 FIDE Freestyle Chess World Championship Play-In,yes,"Involved in cryptocurrency discussions, notably with VanEck's Pranav Kanade",unknown,,2026 FIDE Freestyle Chess World Championship Play-In,"Based on the research, Pranav V is a highly active player who regularly competes in international open tournaments and has demonstrated extensive global travel, including recent victories at the 2025 World Junior Championship in Montenegro and tournaments in Salamanca and Fujairah. However, he has a confirmed commitment to the 2026 FIDE Freestyle Chess World Championship Play-In, though the timing of this event relative to February/March 2026 is unclear. Given his pattern of participating in international opens and global tournament activity, attendance at a Honduras tournament would be consistent with his competitive profile, but the potential scheduling conflict with the Freestyle Chess commitment could be a limiting factor.",,
"Alekseenko, Kirill",4135539,GM,2639,,,AUT,1997,29,,,,,active,regularly,unknown,unknown,yes,Fischer Random Chess (Chess960),no,He has no known connection to Bitcoin or cryptocurrency. His primary focus is on competitive chess.,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,German Bundesliga 2025/26,"Based on the search results, Kirill Alekseenko is an active grandmaster (rated 2639, world #83) who regularly participates in major tournaments including FIDE World Championships and has commitments to the German Bundesliga 2025/26. However, the search results do not indicate whether he typically plays open tournaments, as his documented activity focuses on high-level elite events like World Cups and national team competitions. Without evidence of him participating in open tournaments or traveling to Central America, his attendance at an open tournament in Honduras would be unlikely given his apparent focus on elite-level competitive chess.",,
"Ivic, Velimir",950122,GM,2638,,,SRB,2002,24,,,,,active,regularly,global,unknown,yes,Fischer Random (Chess 960) games against notable players,no,No known connection to Bitcoin or cryptocurrency exists,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,Tata Steel Challengers in January 2026,"Based on the research, Velimir Ivic appears to be an active grandmaster who regularly participates in international tournaments, including open events like the Tata Steel Challengers (January 2026) and London Chess Classic, demonstrating a willingness to travel globally for competition. However, there is no evidence in his tournament history of playing in Central or South American events, and his schedule shows a commitment to the Tata Steel tournament in January 2026, which could potentially influence his availability for subsequent events. While his activity level suggests he could theoretically attend an open tournament in Honduras, the lack of any documented play in the Americas region and his existing European tournament commitments make his attendance uncertain without additional factors encouraging participation.",,
"Sadhwani, Raunak",35093487,GM,2638,,,IND,2005,21,,,,,active,regularly,global,unknown,yes,Fischer Random Chess tournaments; Fischer-Random-Buddhibal-Kreeda-Trust-2020,no,"No involvement with Bitcoin or cryptocurrency mentioned, known only for chess achievements",yes,Twitch: unknown; YouTube: unknown; Twitter: @sadhwani2005,unknown,"Based on the search results, Raunak Sadhwani is an active grandmaster (rated 2638) who regularly participates in international tournaments including opens like the London Chess Classic and Grand Chess Tour events, demonstrating a willingness to travel globally for chess competitions. However, there is no specific information about his 2026 schedule or previous tournament activity in Central America, making it impossible to determine his likelihood of attending a tournament in Honduras. His active status and participation in international opens suggests it would be within his typical tournament patterns, but without knowledge of scheduling conflicts or regional preferences, the probability remains uncertain.",,
"Tari, Aryan",1510045,GM,2637,,,NOR,1999,27,,,,,retired,unknown,global,yes,yes,,no,No connection found despite CRYPTO/BITCOIN INFO section containing only general biographical information,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,Pan-Am Intercollegiate in February 2026 [CONFLICT],"Based on the search results, Aryan Tari's attendance at an open tournament in Honduras in Feb/March 2026 appears unlikely due to several factors. The research indicates he retired from competitive chess in 2021, and he already has a commitment to the Pan-Am Intercollegiate tournament in February 2026, creating a scheduling conflict. While he has shown willingness to travel globally for tournaments and has played in the Americas, his apparent retirement status suggests reduced competitive activity despite some recent tournament appearances.",,
"Adams, Michael",400041,GM,2635,,,ENG,1971,55,,,,,retired,occasionally,continental,unknown,yes,Fischer Random Chess world championship 2001,yes,Former editor for Forbes Advisor with expertise in finance and cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Michael Adams is a retired English chess grandmaster who remains selectively active in senior championships and international open tournaments, having won the 2025 ECF English Championship and committed to events like the European Senior Team Championship in Poland. While he does participate in open tournaments such as the 3rd Cambridge International Open, his travel patterns appear focused on European events, and there is no indication in his known schedule or typical tournament selection that suggests he would travel to Central America for an open tournament. Given his selective post-retirement activity and apparent preference for regional events, attendance at a Honduras open tournament would be unlikely unless there were exceptional circumstances or incentives not evident in the available information.",,
"Navara, David",309095,GM,2635,,,CZE,1985,41,,,,,active,regularly,global,yes,yes,2022 Fischer Random World Championship qualifier; Chess960 game against Bassem Amin in 2023,yes,Participated in tournaments with Bitcoin prizes,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,unknown,"Based on the research, David Navara appears to be an active tournament player as of 2026 who regularly participates in open events including the FIDE World Cup, German Bundesliga, and the 2024 U.S. National Championships, demonstrating a global travel range. Given his active status, history of international tournament participation including in the Americas, and regular engagement in open tournaments, he would be a plausible candidate for an open chess tournament in Honduras in Feb/March 2026. However, no specific 2026 commitments were found that would indicate conflicts or confirm availability for those dates.",,
"Indjic, Aleksandar",911925,GM,2635,,,SRB,1995,31,,,,,unknown,regularly,global,yes,unknown,,yes,Known for his involvement with blockchain technology in chess,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Aleksandar Indjic appears highly active in international tournaments, having won the 2024 European Championship, 2024 U.S. National Championship, and placed second in the 2025 Sharjah Masters, demonstrating he regularly travels globally for major events. However, his tournament pattern seems focused on high-profile championships and masters events rather than typical open tournaments. While he has no known scheduling conflicts for February/March 2026, an open tournament in Honduras would represent an unusual destination compared to his typical tournament circuit of major international venues.",,
"Salem, A.R. Saleh",9301348,GM,2635,,,UAE,1993,33,,,,,active,regularly,global,unknown,yes,,no,No connection found in search results,yes,Twitch: Salem_AR; YouTube: Salem Saleh; Twitter: SalemARSaleh,,"Based on the research, Salem A.R. Saleh appears to be an active international competitor who regularly participates in FIDE events and international tournaments, as evidenced by his recent participation in the 2025 World Championships and securing spots in prestigious events like the Biel International Chess Festival. However, the search results primarily show his involvement in high-level invitation-only tournaments and FIDE events rather than open tournaments, and there is no specific information about his travel to Central America or participation in open events in that region. Given his global tournament activity and current world ranking of #87, attendance would likely depend on factors not covered in the available research, such as appearance fees, tournament strength, and his 2026 schedule commitments.",,
"L'Ami, Erwin",1007998,GM,2634,,,NED,1985,41,,,,,active,regularly,continental,unknown,unknown,,no,No connection found in search results,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,Tata Steel Chess Challengers 2026,"Based on the research, Erwin L'Ami is highly active in 2025-2026, regularly participating in open tournaments including the Tata Steel Chess Challengers 2026 where he placed in the top 27 globally. However, his tournament activity appears focused on European events (German Bundesliga, Dutch tournaments), with no evidence of travel to the Americas or Central America in the search results. Given his commitment to the Tata Steel tournament in 2026 and apparent preference for European competitions, attendance at a Honduras open tournament would be unlikely unless there were compelling circumstances not evident in the available information.",,
"Ponomariov, Ruslan",14103320,GM,2633,,,UKR,1983,43,,,,,unknown,regularly,unknown,unknown,yes,Fischer Random Chess events; Freestyle Chess Grand Slam Tour 2025,no,There is no known connection between Ponomariov and Bitcoin or cryptocurrency,yes,Twitch: ruslanponomariov; YouTube: unknown,Tata Steel Masters 2026,"Based on the research, Ruslan Ponomariov remains an active professional player in 2026 who participates in high-level tournaments like the Tata Steel Masters 2026, indicating he is still competing regularly. However, as a former FIDE World Champion and established grandmaster, he appears to focus on prestigious invitational events and major tournaments rather than open tournaments. There is no information about his travel patterns to Central America or participation in smaller open events, making attendance at an open tournament in Honduras unlikely given his apparent preference for elite-level competitions.",,
"Bacrot, Etienne",605506,GM,2631,,,FRA,1983,43,,,,,active,regularly,unknown,unknown,yes,2006 FiNet Chess960 Open,no,Has no known association with Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,Djerba International Chess Festival in February 2026 [CONFLICT],"Based on the research, Etienne Bacrot is an active grandmaster who regularly participates in international tournaments, but he is already scheduled to compete in the Djerba International Chess Festival in February 2026, which would likely conflict with a Honduras tournament during the same timeframe. While he appears to maintain an active tournament schedule including major FIDE events, there is no information about his history of playing in Central American open tournaments or his typical travel patterns to assess his likelihood of attending such an event.",,
"Gelfand, Boris",2805677,GM,2630,,,ISR,1968,58,,,,,active,regularly,global,unknown,yes,,yes,"Competed in the FTX Crypto Cup, winning $220,000 plus $100,000 in Bitcoin",yes,Twitch: unknown handle; YouTube: unknown handle,,"Based on the search results, Boris Gelfand remains an active grandmaster (rated 2630) who regularly participates in open tournaments, including the 2025 FIDE Grand Swiss, KazChess Masters, and ECC Open, indicating he frequently travels internationally for chess events. However, the search results show no evidence of him previously playing in Central America or similar smaller chess markets, and no known commitments for 2026 were found. While his active tournament schedule suggests he could potentially attend an open tournament in Honduras, his typical participation appears focused on higher-profile international events.",,
"Kollars, Dmitrij",12909572,GM,2630,,,GER,1999,27,,,,,active,regularly,global,unknown,yes,2024 German Chess960 Championship,no,No crypto or bitcoin connections found in search results,yes,Twitch: dmitrijkollars; YouTube: true; Twitter: unknown,,"Based on the research, Dmitrij Kollars is an active German grandmaster who regularly participates in major international tournaments including FIDE Grand Swiss, European Championships, and World Chess Cup events, demonstrating a willingness to travel globally for competition. However, there is no evidence in the search results of him playing in open tournaments or traveling to Central America, as his documented activity focuses on high-level closed events and championships. Given his apparent preference for prestigious tournaments over open events and no indicated connection to Honduras or the region, his attendance at an open tournament in Honduras would be unlikely without specific appearance fees or special circumstances.",,
"Mishra, Abhimanyu",30920019,GM,2629,,,USA,2009,17,,,,,active,regularly,global,yes,yes,"World Fischer Random KO, Reykjavik ISL 2022; 57th Biel GM1-960 2024",no,No known connection to Bitcoin or cryptocurrency exists,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Abhimanyu Mishra remains highly active in competitive chess as of 2026 and regularly participates in major tournaments including opens like the FIDE Grand Swiss and U.S. Championship. His travel patterns show global tournament participation, including events in Europe (Iceland, Switzerland) and the Americas, indicating willingness to travel internationally for chess competitions. However, no specific information was found about his 2026 schedule or any commitments that would conflict with a February/March tournament in Honduras.",,
"Chigaev, Maksim",4108116,GM,2628,,,ESP,1996,30,,,,,active,regularly,global,unknown,yes,various Chess960 tournaments,no,No known connection between Chigaev and Bitcoin or cryptocurrency,yes,Twitch: fandorine96; YouTube: @fandorine96,unknown,"Based on the search results, Maksim Chigaev is an active grandmaster who regularly participates in various tournaments including opens, World Championships, and Grand Chess Tour events, with a history of international travel to locations like Oslo and London. However, there is no evidence in the search results of him having played in the Americas previously, and Honduras would represent an unusual tournament location compared to his typical European circuit. While his active status and willingness to travel internationally suggest attendance is possible, the lack of any known commitments or travel patterns to Central America makes his participation in a Honduras open tournament uncertain.",,
Pranesh M,35028600,GM,2628,,,IND,2006,20,,,,,active,regularly,unknown,yes,yes,2023 Saint Louis Champions Showdown,no,No crypto/bitcoin connection found in search results,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Pranesh M is an active 20-year-old Indian grandmaster (rated 2628, ranked 98th globally) who regularly participates in open tournaments, having won multiple challengers sections and titled events in 2025. While he has traveled internationally for chess competitions (including to Saint Louis for the 2023 Champions Showdown), there is no specific information about his 2026 tournament schedule or previous participation in Central American events. Given his active tournament participation and willingness to travel internationally, attendance at a Honduras open tournament would be possible but cannot be determined from the available information.",,
"Bjerre, Jonas Buhl",1444948,GM,2628,,,DEN,2004,22,,,,,unknown,regularly,global,yes,yes,2020 Reykjavik Open; training game against Magnus Carlsen,no,No direct connection to Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Jonas Buhl Bjerre appears to be an active tournament player who regularly participates in open events, including international tournaments like the Reykjavik Open and recent competitions such as the 2025 FIDE World Championships and U.S. National Championships, demonstrating a willingness to travel globally for chess events. As an active grandmaster rated 2628 with a pattern of competing in diverse tournaments across different continents, he could potentially attend an open tournament in Honduras. However, no specific 2026 schedule information was found to confirm or rule out availability for February/March 2026.",,
"Van Wely, Loek",1000268,GM,2628,,,NED,1972,54,,,,,unknown,regularly,continental,unknown,yes,NH Chess Tournament,yes,has been involved in discussions about cryptocurrency and Bitcoin,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Loek van Wely is currently an active grandmaster who regularly participates in tournaments including the German Bundesliga, European Team Championships, and various FIDE events through 2025. While he demonstrates consistent tournament activity and plays in both team and individual competitions, the search results show his recent participation primarily in European events with no clear evidence of travel to Central America or similar regions. Given his active status and tournament participation pattern, attendance would be possible but would likely depend on scheduling conflicts with his established European tournament commitments, for which no 2026 information was found.",,
"Suleymanli, Aydin",13413937,GM,2628,,,AZE,2005,21,,,,,active,regularly,global,unknown,yes,,no,No crypto or bitcoin connection mentioned in the search results,yes,YouTube: unknown,Tata Steel Chess Challengers,"Based on the research, Aydin Suleymanli regularly participates in major open tournaments like the Aeroflot Open and Sharjah Masters, and has demonstrated global travel patterns for international chess events. However, he is already committed to the Tata Steel Chess Challengers in 2026, which typically occurs in January-February and could create a scheduling conflict with a February/March tournament in Honduras. While he appears to be an active player who competes internationally, there is no evidence of previous participation in Central American tournaments, making attendance uncertain.",,
